# dt (sec)	Amp1 (V)	Width1 (s)	Amp2 (V)	Width2 (s)
#
3.427600e-05	   0.68922	6.279868e-08	   0.57321	1.422793e-07
2.889600e-05	   0.68341	6.351668e-08	   0.58503	1.429500e-07
3.941200e-05	   0.72740	6.651805e-08	   0.58820	1.427443e-07
3.953200e-05	   0.58203	6.007362e-08	   0.51910	2.481138e-08
2.558400e-05	   0.66206	6.568150e-08	   0.58288	1.427080e-07
3.544400e-05	   0.75067	6.681042e-08	   0.58149	1.430167e-07
3.955600e-05	   0.73125	6.432056e-08	   0.37078	1.715289e-08
4.904000e-06	   0.66568	6.484962e-08	   0.58674	1.425792e-07
2.557200e-05	   0.60618	6.192149e-08	   0.58904	1.433182e-07
2.548000e-06	   0.81724	7.138095e-08	   0.59871	1.439664e-07
1.593200e-05	   0.67112	6.839041e-08	   0.59043	1.437023e-07
6.380000e-06	   0.71991	6.537556e-08	   0.58890	1.435715e-07
2.741200e-05	   0.54036	5.838916e-08	   0.58572	1.425876e-07
1.476000e-06	   0.71297	6.592526e-08	   0.58200	1.421816e-07
3.897600e-05	   0.52630	6.035470e-08	   0.60110	1.424908e-07
6.044000e-06	   0.72068	6.618470e-08	   0.58461	1.437213e-07
3.520000e-06	   0.67822	6.727667e-08	   0.58403	1.423652e-07
2.896800e-05	   0.65577	6.684088e-08	   0.58993	1.423472e-07
1.921600e-05	   0.76499	7.098648e-08	   0.58974	1.434889e-07
2.296800e-05	   0.75362	6.828411e-08	   0.56939	1.414942e-07
1.228000e-06	   0.64098	6.364424e-08	   0.58349	1.439252e-07
3.810800e-05	   0.74731	6.574974e-08	   0.59529	1.428860e-07
7.236000e-06	   0.61054	6.446672e-08	   0.60322	1.430600e-07
3.637200e-05	   0.55816	6.187375e-08	   0.58168	1.423966e-07
1.088000e-06	   0.88126	7.272971e-08	   0.28119	5.582355e-08
1.652000e-06	   0.75648	7.227708e-08	   0.59048	1.441494e-07
2.532000e-06	   0.69412	6.608700e-08	   0.57740	1.414915e-07
1.651200e-05	   0.65428	6.409535e-08	   0.58866	1.430401e-07
5.192000e-06	   0.63333	6.392409e-08	   0.57895	1.431216e-07
2.062800e-05	   0.63101	6.412102e-08	   0.60480	1.431332e-07
3.277600e-05	   0.66823	6.369875e-08	   0.59548	1.426675e-07
3.896800e-05	   0.70314	6.385179e-08	   0.59109	1.431336e-07
3.688400e-05	   0.64076	6.559239e-08	   0.59175	1.424747e-07
3.030400e-05	   0.72035	6.808794e-08	   0.59782	1.436042e-07
