Trigger Count=16175	Output Count=1359	Elapsed Time=05:00.001	Number of Pulses CH0=1	Number of Pulses CH1=1
te (Hz)=2.50E+8	Min record length=142	Trigger level (V)=0.1200	Channel 0 threshold (V)=0.0250	Channel 1 threshold (V)=0.0250	Range (microseconds)=0.5000	Pulse 2 delay (microseconds)=0.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
0.000000	0.477644	3.390696E-8	0.000000	0.000000	0.000000	3.600000E-8	0.447073	3.712889E-8	0.000000	0.000000	0.000000
2.400000E-8	0.138156	5.156128E-8	0.000000	0.000000	0.000000	5.200000E-8	0.273004	4.059499E-8	0.000000	0.000000	0.000000
4.000000E-8	0.148633	3.235675E-8	0.000000	0.000000	0.000000	8.400000E-8	0.011566	2.958534E-8	0.000000	0.000000	0.000000
0.000000	0.405506	3.894137E-8	0.000000	0.000000	0.000000	4.400000E-8	0.051953	5.393949E-8	0.000000	0.000000	0.000000
3.200000E-8	0.250034	3.120708E-8	0.000000	0.000000	0.000000	6.000000E-8	0.473349	3.580047E-8	0.000000	0.000000	0.000000
2.400000E-8	0.251201	3.444249E-8	0.000000	0.000000	0.000000	5.600000E-8	0.089758	3.157239E-8	0.000000	0.000000	0.000000
4.000000E-9	0.640250	3.180309E-8	0.000000	0.000000	0.000000	4.000000E-8	0.215366	4.069422E-8	0.000000	0.000000	0.000000
2.000000E-8	0.266395	3.935624E-8	0.000000	0.000000	0.000000	5.200000E-8	0.496667	3.225086E-8	0.000000	0.000000	0.000000
4.000000E-8	0.148198	2.896215E-8	0.000000	0.000000	0.000000	7.200000E-8	0.101178	4.549431E-8	0.000000	0.000000	0.000000
4.000000E-8	0.105688	2.915818E-8	0.000000	0.000000	0.000000	7.600000E-8	0.022501	2.418651E-8	0.000000	0.000000	0.000000
3.200000E-8	0.175672	3.361858E-8	0.000000	0.000000	0.000000	6.400000E-8	0.048046	3.377796E-8	0.000000	0.000000	0.000000
0.000000	0.549160	3.262094E-8	0.000000	0.000000	0.000000	3.200000E-8	0.366996	6.005990E-8	0.000000	0.000000	0.000000
2.400000E-8	0.256083	3.607622E-8	0.000000	0.000000	0.000000	6.000000E-8	0.101072	2.934777E-8	0.000000	0.000000	0.000000
4.400000E-8	0.126087	3.081307E-8	0.000000	0.000000	0.000000	8.400000E-8	0.067834	4.563165E-8	0.000000	0.000000	0.000000
4.000000E-9	0.346432	4.928021E-8	0.000000	0.000000	0.000000	4.400000E-8	0.118612	4.574055E-8	0.000000	0.000000	0.000000
2.400000E-8	0.344362	3.293432E-8	0.000000	0.000000	0.000000	6.000000E-8	0.035408	4.503402E-8	0.000000	0.000000	0.000000
4.000000E-8	0.164191	2.947922E-8	0.000000	0.000000	0.000000	7.600000E-8	0.091150	3.444928E-8	0.000000	0.000000	0.000000
4.000000E-9	0.335731	5.207580E-8	0.000000	0.000000	0.000000	5.200000E-8	0.011081	8.624758E-8	0.000000	0.000000	0.000000
4.000000E-8	0.141585	4.305180E-8	0.000000	0.000000	0.000000	8.000000E-8	0.073319	3.946731E-8	0.000000	0.000000	0.000000
8.000000E-9	0.515229	3.603244E-8	0.000000	0.000000	0.000000	4.800000E-8	0.143134	3.053527E-8	0.000000	0.000000	0.000000
2.400000E-8	0.201770	3.834594E-8	0.000000	0.000000	0.000000	6.000000E-8	0.054976	3.083078E-8	0.000000	0.000000	0.000000
4.000000E-8	0.130383	2.980191E-8	0.000000	0.000000	0.000000	7.600000E-8	0.066765	3.082689E-8	0.000000	0.000000	0.000000
4.000000E-8	0.168219	2.737991E-8	0.000000	0.000000	0.000000	7.200000E-8	0.138118	3.859163E-8	0.000000	0.000000	0.000000
0.000000	0.500807	3.638039E-8	0.000000	0.000000	0.000000	4.000000E-8	0.169865	3.538859E-8	0.000000	0.000000	0.000000
2.800000E-8	0.296293	2.937080E-8	0.000000	0.000000	0.000000	6.400000E-8	0.086504	2.674894E-8	0.000000	0.000000	0.000000
2.400000E-8	0.274345	3.425152E-8	0.000000	0.000000	0.000000	6.000000E-8	0.082944	2.925522E-8	0.000000	0.000000	0.000000
